Date,Time,Location,Route,Type,Aboard
01/24/1961,02:48,Mt Burangrang Indonesia,Jakarta - Bandung,Douglas DC-3,21.0
02/03/1961,23:55,Off Surabaya Indonesia,Surabaya - Balikpapan,Douglas DC-3,26.0
02/15/1961,10:05,Near Brussels Belgium,New York City - Brussels,Boeing B-707-320,72.0
05/30/1961,01:20,Near Lisbon Portugal,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,61.0
06/12/1961,04:11,Cairo Egypt,Rome - Cairo,Lockheed L-188C Electra,36.0
07/11/1961,11:36,Denver Colorado,Omaha - Denver,McDonnell Douglas DC-8-12,122.0
09/01/1961,02:05,Near Hinsdale Illinois,Chicago - Las Vegas,Lockheed 049 Constellation,78.0
09/12/1961,22:09,Near Rabat Morrocco,Paris - Rabat,Sud-Aviation Caravelle III,77.0
09/17/1961,08:57,Chicago Illinois,Chicago - Tampa,Lockheed 188C  Electra,37.0
11/08/1961,21:24,Near Richmond Virginia,Baltimore - Columbia SC,Lockheed C-69 Constellation,79.0
03/01/1962,10:09,Jamaica Bay New York New York,New York City - Los Angeles,Boeing B-707-123B,95.0
03/04/1962,18:20,Douala Cameroon,Douala - Lisboa,Douglas DC-7C,111.0
03/15/1962,01:14,Adak Alaska,"Cold Bay, AK - Adak, AK",Lockheed 1049H Super Constellation,7.0
03/15/1962,00:30,Western PacifiOcean Philippine Sea,"Travis AFB - Honolulu - Agana, Guam - Clark AFB -Saigon",Lockheed 1049H Super Constellation,107.0
05/22/1962,21:21,Near Unionville Missouri,"Chicago - Kansas City, MO",Boeing B-707-124,45.0
06/22/1962,04:01,BasseTerre Guadaloupe West Indies,Paris - Pointe-a Pitre - Santaigo,Boeing B-707-328,112.0
07/07/1962,23:59,Near Junnar Maharashtra India,Bangkok - Bombay,McDonnell Douglas DC-8-43,94.0
07/19/1962,15:45,Near Bangkok Thailand,Hong Kong - Bangkok,de Havilland Comet 4C,26.0
07/22/1962,23:19,Honolulu Hawaii,"Honolulu - Nadi, Fiji",Bristol Britannia 314,40.0
09/23/1962,21:00,North AtlantiOcean,"Gander, Newfoundland - Frankfurt, Germany",Lockheed 1049H-82 Super Constellation,76.0
